Date,Company,Ticker,Open,High,Low,Close,Volume
2023-06-26,Reliance Industries,RELIANCE.NS,1139.17,1142.99,1130.85,1133.97,12641159
2023-06-27,Reliance Industries,RELIANCE.NS,1134.42,1140.31,1129.92,1134.38,9689466
2023-06-28,Reliance Industries,RELIANCE.NS,1141.9,1153.19,1135.01,1149.39,11354006
2023-06-30,Reliance Industries,RELIANCE.NS,1157.07,1161.73,1151.19,1158.82,11151555
2023-07-03,Reliance Industries,RELIANCE.NS,1162.37,1191.43,1161.14,1188.56,12154387
2023-07-04,Reliance Industries,RELIANCE.NS,1192.79,1192.79,1169.27,1176.32,8061643
2023-07-05,Reliance Industries,RELIANCE.NS,1185.52,1185.52,1170.43,1174.39,10248062
2023-07-06,Reliance Industries,RELIANCE.NS,1170.55,1201.63,1170.55,1199.04,19117987
2023-07-07,Reliance Industries,RELIANCE.NS,1197.33,1210.94,1194.15,1196.7,13375267
2023-07-10,Reliance Industries,RELIANCE.NS,1221.82,1252.31,1215.51,1242.79,33240016
2023-07-11,Reliance Industries,RELIANCE.NS,1250.91,1258.68,1243.95,1256.27,20069348
2023-07-12,Reliance Industries,RELIANCE.NS,1256.99,1273.22,1254.88,1257.65,18733835
2023-07-13,Reliance Industries,RELIANCE.NS,1264.99,1271.85,1243.79,1246.41,14682934
2023-07-14,Reliance Industries,RELIANCE.NS,1249.59,1254.54,1238.27,1245.36,15124144
2023-07-17,Reliance Industries,RELIANCE.NS,1248.23,1279.15,1239.59,1270.81,22220040
2023-07-18,Reliance Industries,RELIANCE.NS,1280.03,1289.32,1269.13,1281.6,25867313
2023-07-19,Reliance Industries,RELIANCE.NS,1285.94,1297.75,1270.94,1291.32,39122156
2023-07-20,Reliance Industries,RELIANCE.NS,1270.14,1295.23,1270.14,1289.76,38717624
2023-07-21,Reliance Industries,RELIANCE.NS,1284.42,1287.32,1242.38,1249.83,30249238
2023-07-24,Reliance Industries,RELIANCE.NS,1221.4,1238.12,1215.64,1224.55,23727866
2023-07-25,Reliance Industries,RELIANCE.NS,1227.8,1233.32,1220.91,1223.77,12026020
2023-07-26,Reliance Industries,RELIANCE.NS,1223.37,1253.9,1223.37,1243.66,12911012
2023-07-27,Reliance Industries,RELIANCE.NS,1247.52,1249.29,1226.01,1232.09,17226898
2023-07-28,Reliance Industries,RELIANCE.NS,1236.69,1251.85,1231.03,1244.47,20827852
2023-07-31,Reliance Industries,RELIANCE.NS,1244.47,1257.29,1239.59,1255.0,8551174
2023-08-01,Reliance Industries,RELIANCE.NS,1257.83,1259.8,1233.37,1237.26,9536632
2023-08-02,Reliance Industries,RELIANCE.NS,1235.29,1236.67,1212.84,1224.04,12748214
2023-08-03,Reliance Industries,RELIANCE.NS,1218.6,1231.2,1210.11,1218.89,10168350
2023-08-04,Reliance Industries,RELIANCE.NS,1230.17,1238.63,1216.78,1235.46,22885610
2023-08-07,Reliance Industries,RELIANCE.NS,1241.1,1244.74,1233.22,1242.5,5982870
2023-08-08,Reliance Industries,RELIANCE.NS,1244.54,1247.72,1230.54,1235.02,9844072
2023-08-09,Reliance Industries,RELIANCE.NS,1233.15,1245.03,1221.45,1243.16,11486586
2023-08-10,Reliance Industries,RELIANCE.NS,1243.04,1255.37,1234.92,1248.7,15470598
2023-08-11,Reliance Industries,RELIANCE.NS,1246.73,1259.73,1236.84,1253.97,22179330
2023-08-14,Reliance Industries,RELIANCE.NS,1249.96,1271.27,1243.07,1268.79,9575812
2023-08-16,Reliance Industries,RELIANCE.NS,1255.87,1271.52,1255.87,1267.75,10203112
2023-08-17,Reliance Industries,RELIANCE.NS,1263.79,1269.21,1246.93,1249.47,13673744
2023-08-18,Reliance Industries,RELIANCE.NS,1246.14,1268.96,1234.97,1258.72,18639978
2023-08-21,Reliance Industries,RELIANCE.NS,1254.84,1262.5,1242.84,1244.99,9221746
2023-08-22,Reliance Industries,RELIANCE.NS,1243.45,1253.85,1234.61,1244.69,7713044
2023-08-23,Reliance Industries,RELIANCE.NS,1247.06,1256.28,1243.48,1246.07,9517952
2023-08-24,Reliance Industries,RELIANCE.NS,1254.82,1254.82,1220.78,1225.13,14140020
2023-08-25,Reliance Industries,RELIANCE.NS,1213.37,1237.58,1206.75,1219.47,22222400
2023-08-28,Reliance Industries,RELIANCE.NS,1221.27,1227.2,1201.07,1207.32,12580826
2023-08-29,Reliance Industries,RELIANCE.NS,1211.42,1212.11,1189.73,1195.76,16876644
2023-08-30,Reliance Industries,RELIANCE.NS,1201.51,1206.95,1193.11,1194.62,12168946
2023-08-31,Reliance Industries,RELIANCE.NS,1197.06,1198.05,1185.65,1189.16,21638600
2023-09-01,Reliance Industries,RELIANCE.NS,1188.94,1198.37,1186.52,1191.95,18112842
2023-09-04,Reliance Industries,RELIANCE.NS,1191.95,1197.39,1188.32,1190.99,9347626
2023-09-05,Reliance Industries,RELIANCE.NS,1195.58,1202.47,1191.85,1197.36,8675876
2023-09-06,Reliance Industries,RELIANCE.NS,1196.13,1203.56,1194.22,1199.88,8200370
2023-09-07,Reliance Industries,RELIANCE.NS,1196.42,1204.6,1191.14,1201.51,13652572
2023-09-08,Reliance Industries,RELIANCE.NS,1205.46,1213.37,1197.04,1209.51,23109288
2023-09-11,Reliance Industries,RELIANCE.NS,1211.39,1223.67,1211.39,1222.56,13271074
2023-09-12,Reliance Industries,RELIANCE.NS,1226.71,1226.71,1203.46,1204.89,16255666
2023-09-13,Reliance Industries,RELIANCE.NS,1205.46,1216.65,1198.67,1210.92,12803338
2023-09-14,Reliance Industries,RELIANCE.NS,1215.34,1218.21,1207.93,1212.03,9209636
2023-09-15,Reliance Industries,RELIANCE.NS,1219.3,1219.3,1210.16,1214.28,25468592
2023-09-18,Reliance Industries,RELIANCE.NS,1205.49,1210.9,1201.54,1203.71,7516300
2023-09-20,Reliance Industries,RELIANCE.NS,1197.09,1199.34,1163.47,1176.88,57081884
